customer_id,name,age,income,employment_status,region,signup_date,loan_amount,credit_score,late_payments,default_history,risk_score,risk_level,claim_id,incident_date,claim_amount,claim_status,claim_type,debt_to_income_ratio,risk_category,risk_category_encoded
10001,Kayla Adkins,32,42539,Self-Employed,Central,01/11/2018 22:22,4316,460,0,0,50,Low,50006,04/05/2020 07:26,8649,1,Other,0.10145983685559135,High Risk,0
10004,Eileen Bright,41,48737,Self-Employed,East,11/09/2017 03:27,21643,797,2,0,64,Medium,66043,06/11/2022 19:06,10504,1,Theft,0.4440773949976404,Very Low Risk,3
10004,Eileen Bright,41,48737,Self-Employed,East,11/09/2017 03:27,21643,797,2,0,64,Medium,66314,12/07/2020 04:49,9609,2,Natural Disaster,0.4440773949976404,Very Low Risk,3
10006,Robert Cox,39,98642,Self-Employed,East,25/09/2016 16:46,8220,415,0,1,22,Low,55216,23/02/2019 18:01,7881,0,Other,0.08333164372174125,High Risk,0
10006,Robert Cox,39,98642,Self-Employed,East,25/09/2016 16:46,8220,415,0,1,22,Low,55328,11/09/2019 22:48,11381,1,Theft,0.08333164372174125,High Risk,0
10006,Robert Cox,39,98642,Self-Employed,East,25/09/2016 16:46,8220,415,0,1,22,Low,64069,08/05/2017 02:05,7029,2,Accident,0.08333164372174125,High Risk,0
10014,Andrew Schwartz,38,40382,Retired,East,19/02/2021 06:49,12146,568,1,0,53,Medium,64287,18/06/2017 18:46,1212,0,Accident,0.3007775741667079,High Risk,0
10014,Andrew Schwartz,38,40382,Retired,East,19/02/2021 06:49,17788,687,0,0,77,Medium,64287,18/06/2017 18:46,1212,0,Accident,0.44049328908919816,Low Risk,1
10019,Kathleen Hodge,76,42389,Unemployed,South,28/11/2017 10:39,14282,569,1,0,99,High,58828,13/12/2022 09:38,10861,1,Theft,0.33692703295666326,High Risk,0
10020,John Brock,59,53373,Self-Employed,South,28/05/2022 17:29,12287,838,1,0,39,Low,67738,14/11/2022 12:13,6339,1,Accident,0.23021003128922862,Very Low Risk,3
10021,Bethany Grant,77,50754,Retired,Central,18/04/2019 21:19,13827,668,2,0,96,High,55930,21/09/2022 20:17,7872,1,Other,0.27243172951885564,Moderate Risk,2
10021,Bethany Grant,77,50754,Retired,Central,18/04/2019 21:19,19872,415,2,0,0,Low,55930,21/09/2022 20:17,7872,1,Other,0.3915356425109351,High Risk,0
10021,Bethany Grant,77,50754,Retired,Central,18/04/2019 21:19,14163,788,4,0,47,Low,55930,21/09/2022 20:17,7872,1,Other,0.27905189738739805,Very Low Risk,3
10027,Ashley Brown,68,62818,Self-Employed,Central,24/03/2022 19:40,12530,621,1,0,76,Medium,54956,10/06/2019 05:40,6709,1,Accident,0.19946512146200135,Moderate Risk,2
10027,Ashley Brown,68,62818,Self-Employed,Central,24/03/2022 19:40,12530,621,1,0,76,Medium,60796,13/01/2023 19:11,7112,2,Theft,0.19946512146200135,Moderate Risk,2
10027,Ashley Brown,68,62818,Self-Employed,Central,24/03/2022 19:40,12530,621,1,0,76,Medium,61881,12/05/2017 23:38,2748,2,Theft,0.19946512146200135,Moderate Risk,2
10029,Daniel Adams,81,39580,Employed,Central,23/02/2020 00:42,13713,764,2,0,39,Low,53939,19/01/2021 03:33,6380,0,Natural Disaster,0.34646286003031834,Very Low Risk,3
10029,Daniel Adams,81,39580,Employed,Central,23/02/2020 00:42,13713,764,2,0,39,Low,64514,15/01/2021 02:19,14989,0,Accident,0.34646286003031834,Very Low Risk,3
10031,Mike Guzman DDS,68,50082,Student,North,01/08/2022 06:49,17881,421,1,0,90,High,61735,26/04/2020 23:54,3797,1,Natural Disaster,0.357034463479893,High Risk,0
10033,Richard Rubio,38,52880,Unemployed,South,04/04/2020 15:20,14653,345,0,0,57,Medium,68328,07/05/2023 21:23,5270,2,Theft,0.27709909228441754,High Risk,0
10036,Stephanie Tran,21,31712,Student,East,24/09/2017 00:01,21423,610,3,0,14,Low,52307,29/09/2021 22:50,6300,2,Theft,0.6755486881937437,Moderate Risk,2
10036,Stephanie Tran,21,31712,Student,East,24/09/2017 00:01,19181,722,2,0,91,High,52307,29/09/2021 22:50,6300,2,Theft,0.6048498990918264,Low Risk,1
10036,Stephanie Tran,21,31712,Student,East,24/09/2017 00:01,12101,674,4,0,27,Low,52307,29/09/2021 22:50,6300,2,Theft,0.38159056508577194,Low Risk,1
10037,Shannon Baird,77,71285,Self-Employed,West,17/10/2020 12:08,17376,341,3,0,3,Low,50579,11/10/2018 22:32,7945,1,Accident,0.24375394543031492,High Risk,0
10037,Shannon Baird,77,71285,Self-Employed,West,17/10/2020 12:08,17376,341,3,0,3,Low,69047,22/11/2019 23:37,3859,0,Accident,0.24375394543031492,High Risk,0
10038,Jerry Johnson,31,65643,Employed,East,20/01/2022 11:06,15211,846,2,0,18,Low,66040,05/08/2024 02:45,7996,0,Natural Disaster,0.2317231083283823,Very Low Risk,3
10039,Scott Chapman,26,67350,Student,Central,06/03/2019 14:24,16973,314,3,0,56,Medium,66366,20/02/2024 05:54,5760,2,Other,0.2520118782479584,High Risk,0
10039,Scott Chapman,26,67350,Student,Central,06/03/2019 14:24,16973,314,3,0,56,Medium,66573,19/07/2023 10:40,10171,1,Accident,0.2520118782479584,High Risk,0
10039,Scott Chapman,26,67350,Student,Central,06/03/2019 14:24,12798,698,0,0,12,Low,66366,20/02/2024 05:54,5760,2,Other,0.19002227171492206,Low Risk,1
10039,Scott Chapman,26,67350,Student,Central,06/03/2019 14:24,12798,698,0,0,12,Low,66573,19/07/2023 10:40,10171,1,Accident,0.19002227171492206,Low Risk,1
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,18263,480,2,0,31,Low,59500,01/11/2021 04:05,11521,0,Theft,0.40127878361750746,High Risk,0
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,18263,480,2,0,31,Low,63364,20/07/2021 11:04,10950,0,Natural Disaster,0.40127878361750746,High Risk,0
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,18263,480,2,0,31,Low,63610,09/11/2022 07:34,7641,2,Natural Disaster,0.40127878361750746,High Risk,0
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,18263,480,2,0,31,Low,68971,27/09/2020 23:57,10960,2,Theft,0.40127878361750746,High Risk,0
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,19953,800,3,1,93,High,59500,01/11/2021 04:05,11521,0,Theft,0.438411847424855,Very Low Risk,3
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,19953,800,3,1,93,High,63364,20/07/2021 11:04,10950,0,Natural Disaster,0.438411847424855,Very Low Risk,3
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,19953,800,3,1,93,High,63610,09/11/2022 07:34,7641,2,Natural Disaster,0.438411847424855,Very Low Risk,3
10041,Duane Welch,19,45512,Employed,Central,17/06/2017 03:05,19953,800,3,1,93,High,68971,27/09/2020 23:57,10960,2,Theft,0.438411847424855,Very Low Risk,3
10043,Carolyn Foster,61,58624,Student,South,05/11/2016 09:16,24601,676,1,0,71,Medium,57589,26/03/2020 21:31,9984,2,Other,0.41964042030567683,Low Risk,1
10043,Carolyn Foster,61,58624,Student,South,05/11/2016 09:16,24601,676,1,0,71,Medium,58695,01/05/2018 19:20,6935,2,Theft,0.41964042030567683,Low Risk,1
